Sb.ANO-RCC-MB                            Sb.ANO-RCC...5s4p2d.
Sb.ANO-RCC-VDZ                           Sb.ANO-RCC...6s5p2d.
Sb.ANO-RCC-VDZP                          Sb.ANO-RCC...6s5p3d1f.
Sb.ANO-RCC-VTZP                          Sb.ANO-RCC...7s6p4d2f1g.
Sb.ANO-RCC-VQZP                          Sb.ANO-RCC...8s7p5d3f2g.
Te.ANO-RCC-MB                            Te.ANO-RCC...5s4p2d.
Te.ANO-RCC-VDZ                           Te.ANO-RCC...6s5p2d.
Te.ANO-RCC-VDZP                          Te.ANO-RCC...6s5p3d1f.
Te.ANO-RCC-VTZP                          Te.ANO-RCC...7s6p4d2f1g.
Te.ANO-RCC-VQZP                          Te.ANO-RCC...8s7p5d3f2g.
I.ANO-RCC-MB                             I.ANO-RCC...5s4p2d.
I.ANO-RCC-VDZ                            I.ANO-RCC...6s5p2d.
I.ANO-RCC-VDZP                           I.ANO-RCC...6s5p3d1f.
I.ANO-RCC-VTZP                           I.ANO-RCC...7s6p4d2f1g.
I.ANO-RCC-VQZP                           I.ANO-RCC...8s7p5d3f2g.
Xe.ANO-RCC-MB                            Xe.ANO-RCC...5s4p2d.
Xe.ANO-RCC-VDZ                           Xe.ANO-RCC...6s5p2d.
Xe.ANO-RCC-VDZP                          Xe.ANO-RCC...6s5p3d1f.
Xe.ANO-RCC-VTZP                          Xe.ANO-RCC...7s6p4d2f1g.
Xe.ANO-RCC-VQZP                          Xe.ANO-RCC...8s7p5d3f2g.
Cs.ANO-RCC-MB                            Cs.ANO-RCC...6s5p2d.
Cs.ANO-RCC-VDZ                           Cs.ANO-RCC...7s6p2d.
Cs.ANO-RCC-VDZP                          Cs.ANO-RCC...7s6p3d1f.
Cs.ANO-RCC-VTZP                          Cs.ANO-RCC...8s7p4d2f1g.
Cs.ANO-RCC-VQZP                          Cs.ANO-RCC...9s8p5d3f2g.
Ba.ANO-RCC-MB                            Ba.ANO-RCC...6s5p2d.
